Country,Year,Series,Value,Footnotes,Source
Argentina,2000,Current health expenditure (% of GDP),8.467,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Argentina,2005,Current health expenditure (% of GDP),7.6108,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Argentina,2010,Current health expenditure (% of GDP),8.6137,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Argentina,2015,Current health expenditure (% of GDP),8.7885,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Argentina,2000,Domestic general government health expenditure (% of total government expenditure),17.8199,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Argentina,2005,Domestic general government health expenditure (% of total government expenditure),16.0222,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Argentina,2010,Domestic general government health expenditure (% of total government expenditure),16.693,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Argentina,2015,Domestic general government health expenditure (% of total government expenditure),16.4976,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Armenia,2000,Current health expenditure (% of GDP),4.1958,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Armenia,2005,Current health expenditure (% of GDP),5.8619,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Armenia,2010,Current health expenditure (% of GDP),9.2354,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Armenia,2015,Current health expenditure (% of GDP),10.1176,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Armenia,2000,Domestic general government health expenditure (% of total government expenditure),3.8699,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Armenia,2005,Domestic general government health expenditure (% of total government expenditure),7.44,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Armenia,2010,Domestic general government health expenditure (% of total government expenditure),6.4361,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Armenia,2015,Domestic general government health expenditure (% of total government expenditure),6.1153,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Australia,2000,Current health expenditure (% of GDP),7.6139,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Australia,2005,Current health expenditure (% of GDP),7.9901,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Australia,2010,Current health expenditure (% of GDP),8.4308,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Australia,2015,Current health expenditure (% of GDP),9.3147,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Australia,2000,Domestic general government health expenditure (% of total government expenditure),15.1643,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Australia,2005,Domestic general government health expenditure (% of total government expenditure),16.335,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Australia,2010,Domestic general government health expenditure (% of total government expenditure),16.2633,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Australia,2015,Domestic general government health expenditure (% of total government expenditure),17.2287,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Austria,2000,Current health expenditure (% of GDP),9.2037,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Austria,2005,Current health expenditure (% of GDP),9.627,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Austria,2010,Current health expenditure (% of GDP),10.221,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Austria,2015,Current health expenditure (% of GDP),10.3678,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Austria,2000,Domestic general government health expenditure (% of total government expenditure),13.3752,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Austria,2005,Domestic general government health expenditure (% of total government expenditure),13.6724,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Austria,2010,Domestic general government health expenditure (% of total government expenditure),14.0038,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Austria,2015,Domestic general government health expenditure (% of total government expenditure),14.6911,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Azerbaijan,2000,Current health expenditure (% of GDP),3.8937,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Azerbaijan,2005,Current health expenditure (% of GDP),7.4353,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Azerbaijan,2010,Current health expenditure (% of GDP),4.7678,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Azerbaijan,2015,Current health expenditure (% of GDP),6.714,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Azerbaijan,2000,Domestic general government health expenditure (% of total government expenditure),4.7503,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Azerbaijan,2005,Domestic general government health expenditure (% of total government expenditure),4.0804,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Azerbaijan,2010,Domestic general government health expenditure (% of total government expenditure),3.1628,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Azerbaijan,2015,Domestic general government health expenditure (% of total government expenditure),3.3677,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bahrain,2000,Current health expenditure (% of GDP),3.5613,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bahrain,2005,Current health expenditure (% of GDP),3.1756,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bahrain,2010,Current health expenditure (% of GDP),3.8429,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bahrain,2015,Current health expenditure (% of GDP),4.9751,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bahrain,2000,Domestic general government health expenditure (% of total government expenditure),10.1835,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bahrain,2005,Domestic general government health expenditure (% of total government expenditure),8.6178,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bahrain,2010,Domestic general government health expenditure (% of total government expenditure),8.4764,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bahrain,2015,Domestic general government health expenditure (% of total government expenditure),8.8287,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bangladesh,2000,Current health expenditure (% of GDP),2.0019,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bangladesh,2005,Current health expenditure (% of GDP),2.2755,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bangladesh,2010,Current health expenditure (% of GDP),2.4959,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bangladesh,2015,Current health expenditure (% of GDP),2.4631,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bangladesh,2000,Domestic general government health expenditure (% of total government expenditure),5.2098,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bangladesh,2005,Domestic general government health expenditure (% of total government expenditure),4.3888,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bangladesh,2010,Domestic general government health expenditure (% of total government expenditure),4.4394,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bangladesh,2015,Domestic general government health expenditure (% of total government expenditure),3.3797,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Belgium,2000,Current health expenditure (% of GDP),7.942,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Belgium,2005,Current health expenditure (% of GDP),9.007,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Belgium,2010,Current health expenditure (% of GDP),9.9747,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Belgium,2015,Current health expenditure (% of GDP),10.2801,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Belgium,2000,Domestic general government health expenditure (% of total government expenditure),12.0672,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Belgium,2005,Domestic general government health expenditure (% of total government expenditure),13.3943,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Belgium,2010,Domestic general government health expenditure (% of total government expenditure),14.5351,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Belgium,2015,Domestic general government health expenditure (% of total government expenditure),14.8417,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bhutan,2000,Current health expenditure (% of GDP),4.3102,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bhutan,2005,Current health expenditure (% of GDP),4.0197,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bhutan,2010,Current health expenditure (% of GDP),3.4736,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bhutan,2015,Current health expenditure (% of GDP),3.6581,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bhutan,2000,Domestic general government health expenditure (% of total government expenditure),7.5803,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bhutan,2005,Domestic general government health expenditure (% of total government expenditure),6.7703,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bhutan,2010,Domestic general government health expenditure (% of total government expenditure),5.5985,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bhutan,2015,Domestic general government health expenditure (% of total government expenditure),9.9531,Provisional data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Brazil,2000,Current health expenditure (% of GDP),8.3348,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Brazil,2005,Current health expenditure (% of GDP),8.0441,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Brazil,2010,Current health expenditure (% of GDP),7.9491,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Brazil,2015,Current health expenditure (% of GDP),8.8702,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Brazil,2000,Domestic general government health expenditure (% of total government expenditure),10.0637,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Brazil,2005,Domestic general government health expenditure (% of total government expenditure),8.4077,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Brazil,2010,Domestic general government health expenditure (% of total government expenditure),9.2201,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Brazil,2015,Domestic general government health expenditure (% of total government expenditure),9.8492,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bulgaria,2000,Current health expenditure (% of GDP),5.8709,Health expenditure data do not include funds from foreign origin flowing in the health financing system.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bulgaria,2005,Current health expenditure (% of GDP),6.9442,Health expenditure data do not include funds from foreign origin flowing in the health financing system.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bulgaria,2010,Current health expenditure (% of GDP),7.1058,Health expenditure data do not include funds from foreign origin flowing in the health financing system.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bulgaria,2015,Current health expenditure (% of GDP),8.2027,Health expenditure data do not include funds from foreign origin flowing in the health financing system.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bulgaria,2000,Domestic general government health expenditure (% of total government expenditure),8.5112,Health expenditure data do not include funds from foreign origin flowing in the health financing system.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bulgaria,2005,Domestic general government health expenditure (% of total government expenditure),11.1699,Health expenditure data do not include funds from foreign origin flowing in the health financing system.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bulgaria,2010,Domestic general government health expenditure (% of total government expenditure),10.852,Health expenditure data do not include funds from foreign origin flowing in the health financing system.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Bulgaria,2015,Domestic general government health expenditure (% of total government expenditure),10.3047,Health expenditure data do not include funds from foreign origin flowing in the health financing system.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cambodia,2000,Current health expenditure (% of GDP),6.541,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cambodia,2005,Current health expenditure (% of GDP),6.8528,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cambodia,2010,Current health expenditure (% of GDP),6.9117,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cambodia,2015,Current health expenditure (% of GDP),6.1943,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cambodia,2000,Domestic general government health expenditure (% of total government expenditure),8.5917,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cambodia,2005,Domestic general government health expenditure (% of total government expenditure),9.8988,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cambodia,2010,Domestic general government health expenditure (% of total government expenditure),6.5196,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cambodia,2015,Domestic general government health expenditure (% of total government expenditure),6.4211,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cameroon,2000,Current health expenditure (% of GDP),3.9823,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cameroon,2005,Current health expenditure (% of GDP),4.1421,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cameroon,2010,Current health expenditure (% of GDP),4.5039,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cameroon,2015,Current health expenditure (% of GDP),4.6995,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cameroon,2000,Domestic general government health expenditure (% of total government expenditure),4.4263,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cameroon,2005,Domestic general government health expenditure (% of total government expenditure),5.2475,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cameroon,2010,Domestic general government health expenditure (% of total government expenditure),5.0882,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cameroon,2015,Domestic general government health expenditure (% of total government expenditure),3.2514,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Canada,2000,Current health expenditure (% of GDP),8.2757,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Canada,2005,Current health expenditure (% of GDP),9.0644,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Canada,2010,Current health expenditure (% of GDP),10.6821,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Canada,2015,Current health expenditure (% of GDP),10.5107,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Canada,2000,Domestic general government health expenditure (% of total government expenditure),14.8156,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Canada,2005,Domestic general government health expenditure (% of total government expenditure),17.131,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Canada,2010,Domestic general government health expenditure (% of total government expenditure),18.2593,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Canada,2015,Domestic general government health expenditure (% of total government expenditure),19.55,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
China,2000,Current health expenditure (% of GDP),4.4734,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
China,2005,Current health expenditure (% of GDP),4.1422,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
China,2010,Current health expenditure (% of GDP),4.208,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
China,2015,Current health expenditure (% of GDP),4.8887,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
China,2000,Domestic general government health expenditure (% of total government expenditure),6.0898,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
China,2005,Domestic general government health expenditure (% of total government expenditure),7.4888,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
China,2010,Domestic general government health expenditure (% of total government expenditure),8.7509,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
China,2015,Domestic general government health expenditure (% of total government expenditure),9.3933,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Colombia,2000,Current health expenditure (% of GDP),5.6523,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Colombia,2005,Current health expenditure (% of GDP),6.0854,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Colombia,2010,Current health expenditure (% of GDP),7.0827,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Colombia,2015,Current health expenditure (% of GDP),7.2974,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Colombia,2000,Domestic general government health expenditure (% of total government expenditure),14.8709,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Colombia,2005,Domestic general government health expenditure (% of total government expenditure),16.8354,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Colombia,2010,Domestic general government health expenditure (% of total government expenditure),17.3473,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Colombia,2015,Domestic general government health expenditure (% of total government expenditure),17.1922,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Congo,2000,Current health expenditure (% of GDP),1.6939,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Congo,2005,Current health expenditure (% of GDP),1.8759,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Congo,2010,Current health expenditure (% of GDP),1.9806,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Congo,2015,Current health expenditure (% of GDP),3.4154,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Congo,2000,Domestic general government health expenditure (% of total government expenditure),2.2729,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Congo,2005,Domestic general government health expenditure (% of total government expenditure),1.9532,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Congo,2010,Domestic general government health expenditure (% of total government expenditure),3.6021,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Congo,2015,Domestic general government health expenditure (% of total government expenditure),2.7098,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Costa Rica,2000,Current health expenditure (% of GDP),6.5931,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Costa Rica,2005,Current health expenditure (% of GDP),6.6952,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Costa Rica,2010,Current health expenditure (% of GDP),8.1134,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Costa Rica,2015,Current health expenditure (% of GDP),7.8229,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Costa Rica,2000,Domestic general government health expenditure (% of total government expenditure),25.2639,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Costa Rica,2005,Domestic general government health expenditure (% of total government expenditure),25.7056,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Costa Rica,2010,Domestic general government health expenditure (% of total government expenditure),31.7352,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Costa Rica,2015,Domestic general government health expenditure (% of total government expenditure),29.4917,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cuba,2000,Current health expenditure (% of GDP),6.5819,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cuba,2005,Current health expenditure (% of GDP),8.7553,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Cuba,2010,Current health expenditure (% of GDP),10.6881,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
